strategy,group,name,trades,avg_profit_pct,tot_profit_usdt,tot_profit_pct,sharpe,profit_factor,max_drawdown_pct,win_rate,cagr,sortino,params
V6_E4_P011,group_e4_exit,"E4a DI exit bars=20 profit=0.0",1130,0.3327,3759.785,375.98,0.82,1.28,14.38,45.4,28.42,2.91,"{""type"":""di_cross"",""min_bars"":20,""min_profit"":0.0}"
V6_E4_P012,group_e4_exit,"E4a DI exit bars=20 profit=0.02",1124,0.361,4057.783,405.78,0.83,1.28,13.44,40.9,29.67,3.04,"{""type"":""di_cross"",""min_bars"":20,""min_profit"":0.02}"
V6_E4_P013,group_e4_exit,"E4b ADX decay drop=3 profit=0.01",1232,0.1256,1547.001,154.70,0.58,1.17,13.62,53.5,16.17,2.21,"{""type"":""adx_decay"",""drop_bars"":3,""min_profit"":0.01}"
V6_E4_P014,group_e4_exit,"E4b ADX decay drop=3 profit=0.03",1206,0.175,2110.8,211.08,0.71,1.21,12.11,48.4,19.95,2.54,"{""type"":""adx_decay"",""drop_bars"":3,""min_profit"":0.03}"
V6_E4_P015,group_e4_exit,"E4b ADX decay drop=5 profit=0.01",1212,0.1477,1789.646,178.96,0.63,1.19,13.61,51.1,17.87,2.41,"{""type"":""adx_decay"",""drop_bars"":5,""min_profit"":0.01}"
V6_E4_P016,group_e4_exit,"E4b ADX decay drop=5 profit=0.03",1189,0.2228,2648.83,264.88,0.79,1.24,11.17,46.4,23.06,2.79,"{""type"":""adx_decay"",""drop_bars"":5,""min_profit"":0.03}"
V6_E4_P017,group_e4_exit,"E4b ADX decay drop=8 profit=0.01",1192,0.2536,3023.14,302.31,0.81,1.26,14.10,48.3,25.00,2.78,"{""type"":""adx_decay"",""drop_bars"":8,""min_profit"":0.01}"
V6_E4_P018,group_e4_exit,"E4b ADX decay drop=8 profit=0.03",1176,0.293,3446.07,344.61,0.86,1.27,13.02,43.7,27.02,2.96,"{""type"":""adx_decay"",""drop_bars"":8,""min_profit"":0.03}"
V6_E5_P001,group_e5_leverage,"E5 lev low=7 high=3 th=0.5",1019,0.3509,3575.518,357.55,0.83,1.31,12.72,32.9,27.60,3.16,"{""low_vol_lev"":7,""high_vol_lev"":3,""threshold"":0.5}"
V6_E5_P002,group_e5_leverage,"E5 lev low=7 high=3 th=0.7",1045,0.3494,3650.801,365.08,0.81,1.29,14.14,31.3,27.94,3.28,"{""low_vol_lev"":7,""high_vol_lev"":3,""threshold"":0.7}"
V6_E5_P003,group_e5_leverage,"E5 lev low=7 high=3 th=0.8",1058,0.2938,3108.693,310.87,0.77,1.27,15.00,30.5,25.42,3.10,"{""low_vol_lev"":7,""high_vol_lev"":3,""threshold"":0.8}"
V6_E5_P004,group_e5_leverage,"E5 lev low=6 high=3 th=0.5",1014,0.3512,3561.59,356.16,0.83,1.31,12.94,32.9,27.54,3.16,"{""low_vol_lev"":6,""high_vol_lev"":3,""threshold"":0.5}"
V6_E5_P005,group_e5_leverage,"E5 lev low=6 high=3 th=0.7",1038,0.3624,3762.126,376.21,0.85,1.31,14.10,31.8,28.43,3.35,"{""low_vol_lev"":6,""high_vol_lev"":3,""threshold"":0.7}"
V6_E5_P006,group_e5_leverage,"E5 lev low=6 high=3 th=0.8",1050,0.3275,3438.541,343.85,0.82,1.29,15.20,31.2,26.98,3.15,"{""low_vol_lev"":6,""high_vol_lev"":3,""threshold"":0.8}"
V6_E5_P007,group_e5_leverage,"E5 lev low=5 high=3 th=0.5",1007,0.4072,4100.264,410.03,0.91,1.35,12.77,33.5,29.85,3.35,"{""low_vol_lev"":5,""high_vol_lev"":3,""threshold"":0.5}"
V6_E5_P008,group_e5_leverage,"E5 lev low=5 high=3 th=0.7",1023,0.453,4634.469,463.45,0.97,1.37,12.12,32.6,31.94,3.52,"{""low_vol_lev"":5,""high_vol_lev"":3,""threshold"":0.7}"
V6_E5_P009,group_e5_leverage,"E5 lev low=5 high=3 th=0.8",1031,0.4126,4253.956,425.40,0.91,1.34,12.82,32.2,30.46,3.30,"{""low_vol_lev"":5,""high_vol_lev"":3,""threshold"":0.8}"
V6_E5_P010,group_e5_leverage,"E5 lev low=7 high=4 th=0.5",1068,0.5166,5517.57,551.76,0.92,1.33,12.68,31.7,35.05,3.59,"{""low_vol_lev"":7,""high_vol_lev"":4,""threshold"":0.5}"
V6_E5_P011,group_e5_leverage,"E5 lev low=7 high=4 th=0.7",1087,0.5876,6387.051,638.71,0.95,1.34,14.44,31.1,37.79,3.79,"{""low_vol_lev"":7,""high_vol_lev"":4,""threshold"":0.7}"
V6_E5_P012,group_e5_leverage,"E5 lev low=7 high=4 th=0.8",1095,0.5571,6100.219,610.02,0.96,1.34,14.80,30.8,36.92,3.70,"{""low_vol_lev"":7,""high_vol_lev"":4,""threshold"":0.8}"
