strategy,group,name,trades,avg_profit_pct,tot_profit_usdt,tot_profit_pct,sharpe,profit_factor,max_drawdown_pct,win_rate,avg_duration,cagr,sortino,params
Exp_Stoch_21_5_60,stoch_dc,"Stoch(21,5) Entry>60",2795,-0.02,-656.999,-65.70,-0.94,0.88,69.25,32.8,0,-15.76,-2.17,"{""stoch_k"":21,""stoch_d"":5,""stoch_entry"":60}"
Exp_Stoch_9_3_50,stoch_dc,"Stoch(9,3) Entry>50",3147,-0.02,-700.846,-70.08,-1.26,0.85,71.03,32.5,0,-17.59,-2.78,"{""stoch_k"":9,""stoch_d"":3,""stoch_entry"":50}"
Exp_Stoch_9_3_60,stoch_dc,"Stoch(9,3) Entry>60",3075,-0.02,-718.536,-71.85,-1.35,0.84,72.91,32.4,0,-18.39,-2.89,"{""stoch_k"":9,""stoch_d"":3,""stoch_entry"":60}"
Exp_CCI_14_100,cci_trend,"CCI(14) Entry>100",3549,-0.01,-349.526,-34.95,-0.38,0.96,57.48,30.0,0,-6.66,-1.01,"{""cci_period"":14,""cci_entry"":100}"
Exp_CCI_14_50,cci_trend,"CCI(14) Entry>50",3595,-0.01,-257.691,-25.77,-0.29,0.97,53.94,28.0,0,-4.66,-0.79,"{""cci_period"":14,""cci_entry"":50}"
Exp_CCI_14_150,cci_trend,"CCI(14) Entry>150",2774,0,-132.882,-13.29,-0.11,0.98,45.08,32.2,0,-2.26,-0.32,"{""cci_period"":14,""cci_entry"":150}"
Exp_CCI_20_100,cci_trend,"CCI(20) Entry>100",2742,0,-122.692,-12.27,-0.11,0.99,53.54,29.9,0,-2.08,-0.30,"{""cci_period"":20,""cci_entry"":100}"
Exp_CCI_20_50,cci_trend,"CCI(20) Entry>50",2728,-0.02,-486.536,-48.65,-0.65,0.91,63.61,26.6,0,-10.13,-1.60,"{""cci_period"":20,""cci_entry"":50}"
Exp_CCI_7_100,cci_trend,"CCI(7) Entry>100",5741,-0.01,-824.383,-82.44,-1.51,0.89,86.57,29.8,0,-24.33,-3.24,"{""cci_period"":7,""cci_entry"":100}"
Exp_CCI_7_50,cci_trend,"CCI(7) Entry>50",6239,-0.01,-811.73,-81.17,-1.50,0.90,86.00,28.2,0,-23.48,-3.14,"{""cci_period"":7,""cci_entry"":50}"
Exp_WillR_14_20,willr_trend,"WillR(14) Entry>-20",3177,-0.01,-338.147,-33.81,-0.26,0.97,63.31,32.0,0,-6.40,-0.66,"{""willr_period"":14,""willr_entry"":-20}"
Exp_WillR_14_30,willr_trend,"WillR(14) Entry>-30",3038,-0.01,-211.856,-21.19,-0.20,0.98,67.95,31.4,0,-3.74,-0.51,"{""willr_period"":14,""willr_entry"":-30}"
Exp_WillR_14_40,willr_trend,"WillR(14) Entry>-40",2813,-0.02,-437.098,-43.71,-0.45,0.94,74.59,29.9,0,-8.80,-1.08,"{""willr_period"":14,""willr_entry"":-40}"
Exp_WillR_21_20,willr_trend,"WillR(21) Entry>-20",2791,0,98.098,9.81,0.06,1.01,63.08,33.1,0,1.51,0.17,"{""willr_period"":21,""willr_entry"":-20}"
Exp_WillR_21_30,willr_trend,"WillR(21) Entry>-30",2524,0,-114.822,-11.48,-0.08,0.99,68.01,31.9,0,-1.94,-0.22,"{""willr_period"":21,""willr_entry"":-30}"
Exp_WillR_7_20,willr_trend,"WillR(7) Entry>-20",4394,-0.02,-749.534,-74.95,-0.89,0.92,83.26,31.7,0,-19.90,-1.91,"{""willr_period"":7,""willr_entry"":-20}"
Exp_WillR_7_30,willr_trend,"WillR(7) Entry>-30",4662,-0.02,-727.785,-72.78,-0.83,0.93,84.48,31.1,0,-18.83,-1.77,"{""willr_period"":7,""willr_entry"":-30}"
Exp_SAR_002_02,sar_trend,"SAR(acc=0.02, max=0.2)",2390,-0.02,-410.408,-41.04,-0.51,0.93,60.98,35.4,0,-8.12,-1.18,"{""sar_acc"":0.02,""sar_max"":0.2}"
Exp_SAR_001_02,sar_trend,"SAR(acc=0.01, max=0.2)",1181,-0.02,-266.424,-26.64,-0.25,0.93,49.34,33.0,0,-4.85,-0.68,"{""sar_acc"":0.01,""sar_max"":0.2}"
Exp_SAR_002_01,sar_trend,"SAR(acc=0.02, max=0.1)",1966,-0.02,-363.569,-36.36,-0.38,0.93,51.75,35.5,0,-6.99,-0.95,"{""sar_acc"":0.02,""sar_max"":0.1}"
Exp_SAR_001_01,sar_trend,"SAR(acc=0.01, max=0.1)",1111,-0.02,-226.896,-22.69,-0.20,0.94,44.13,33.3,0,-4.04,-0.57,"{""sar_acc"":0.01,""sar_max"":0.1}"
Exp_SAR_003_03,sar_trend,"SAR(acc=0.03, max=0.3)",3407,-0.01,-445.674,-44.57,-0.61,0.93,64.80,35.0,0,-9.02,-1.35,"{""sar_acc"":0.03,""sar_max"":0.3}"
Exp_SAR_002_03,sar_trend,"SAR(acc=0.02, max=0.3)",2411,-0.01,-361.313,-36.13,-0.43,0.94,59.35,35.3,0,-6.93,-1.02,"{""sar_acc"":0.02,""sar_max"":0.3}"
