strategy,group,name,window,phase,timerange,trades,tot_profit_pct,sharpe,profit_factor,max_drawdown_pct,cagr,sortino
V6_E9_P002,group_e9_adx_dc,"E9 ADX-DC s=10 w=30 adx=30",W2,test,20240101-20250101,164,47.22,1.54,1.60,9.58,47.07,7.70
V6_E9_P002,group_e9_adx_dc,"E9 ADX-DC s=10 w=30 adx=30",W3,train,20220101-20250101,492,175.82,1.11,1.43,13.99,40.20,5.60
V6_E9_P002,group_e9_adx_dc,"E9 ADX-DC s=10 w=30 adx=30",W3,test,20250101-20260401,185,50.71,1.19,1.48,12.04,38.96,5.07
V6_E9_P003,group_e9_adx_dc,"E9 ADX-DC s=10 w=30 adx=35",W1,train,20200101-20230101,562,212.38,0.95,1.29,12.86,46.39,4.57
V6_E9_P003,group_e9_adx_dc,"E9 ADX-DC s=10 w=30 adx=35",W1,test,20230101-20240101,205,73.03,1.35,1.43,17.91,73.03,8.07
V6_E9_P003,group_e9_adx_dc,"E9 ADX-DC s=10 w=30 adx=35",W2,train,20210101-20240101,575,239.96,1.04,1.35,17.97,50.36,5.14
V6_E9_P003,group_e9_adx_dc,"E9 ADX-DC s=10 w=30 adx=35",W2,test,20240101-20250101,162,49.12,1.58,1.63,9.52,48.96,7.86
V6_E9_P003,group_e9_adx_dc,"E9 ADX-DC s=10 w=30 adx=35",W3,train,20220101-20250101,483,178.09,1.12,1.45,17.91,40.58,5.68
V6_E9_P003,group_e9_adx_dc,"E9 ADX-DC s=10 w=30 adx=35",W3,test,20250101-20260401,178,53.96,1.24,1.53,13.30,41.37,5.20
V6_E9_P004,group_e9_adx_dc,"E9 ADX-DC s=10 w=30 adx=40",W1,train,20200101-20230101,557,199.89,0.91,1.28,13.78,44.40,4.38
V6_E9_P004,group_e9_adx_dc,"E9 ADX-DC s=10 w=30 adx=40",W1,test,20230101-20240101,204,73.48,1.36,1.43,17.91,73.48,8.16
V6_E9_P004,group_e9_adx_dc,"E9 ADX-DC s=10 w=30 adx=40",W2,train,20210101-20240101,571,233.64,1.02,1.34,18.01,49.43,5.14
V6_E9_P004,group_e9_adx_dc,"E9 ADX-DC s=10 w=30 adx=40",W2,test,20240101-20250101,161,48.48,1.57,1.63,9.52,48.32,7.78
V6_E9_P004,group_e9_adx_dc,"E9 ADX-DC s=10 w=30 adx=40",W3,train,20220101-20250101,480,164.08,1.08,1.43,18.04,38.18,5.50
V6_E9_P004,group_e9_adx_dc,"E9 ADX-DC s=10 w=30 adx=40",W3,test,20250101-20260401,172,57.00,1.28,1.58,12.37,43.60,5.43
V6_E9_P005,group_e9_adx_dc,"E9 ADX-DC s=12 w=35 adx=25",W1,train,20200101-20230101,568,207.07,0.94,1.29,13.48,45.55,4.45
V6_E9_P005,group_e9_adx_dc,"E9 ADX-DC s=12 w=35 adx=25",W1,test,20230101-20240101,208,72.39,1.33,1.40,15.36,72.39,7.98
V6_E9_P005,group_e9_adx_dc,"E9 ADX-DC s=12 w=35 adx=25",W2,train,20210101-20240101,579,248.79,1.03,1.34,15.39,51.65,5.02
V6_E9_P005,group_e9_adx_dc,"E9 ADX-DC s=12 w=35 adx=25",W2,test,20240101-20250101,164,51.42,1.65,1.65,9.58,51.25,8.29
V6_E9_P005,group_e9_adx_dc,"E9 ADX-DC s=12 w=35 adx=25",W3,train,20220101-20250101,490,173.43,1.11,1.43,15.37,39.79,5.75
V6_E9_P005,group_e9_adx_dc,"E9 ADX-DC s=12 w=35 adx=25",W3,test,20250101-20260401,184,52.87,1.22,1.50,12.32,40.56,5.14
V6_E9_P006,group_e9_adx_dc,"E9 ADX-DC s=12 w=35 adx=30",W1,train,20200101-20230101,562,203.71,0.94,1.29,12.56,45.01,4.57
V6_E9_P006,group_e9_adx_dc,"E9 ADX-DC s=12 w=35 adx=30",W1,test,20230101-20240101,206,75.82,1.38,1.43,15.36,75.82,8.26
V6_E9_P006,group_e9_adx_dc,"E9 ADX-DC s=12 w=35 adx=30",W2,train,20210101-20240101,574,253.85,1.06,1.36,15.37,52.38,5.14
V6_E9_P006,group_e9_adx_dc,"E9 ADX-DC s=12 w=35 adx=30",W2,test,20240101-20250101,163,47.21,1.55,1.60,9.58,47.05,7.71
V6_E9_P006,group_e9_adx_dc,"E9 ADX-DC s=12 w=35 adx=30",W3,train,20220101-20250101,485,176.30,1.11,1.43,15.35,40.28,5.63
V6_E9_P006,group_e9_adx_dc,"E9 ADX-DC s=12 w=35 adx=30",W3,test,20250101-20260401,181,51.51,1.20,1.50,12.14,39.56,5.07
V6_E9_P007,group_e9_adx_dc,"E9 ADX-DC s=12 w=35 adx=35",W1,train,20200101-20230101,556,206.90,0.95,1.30,11.00,45.52,4.69
V6_E9_P007,group_e9_adx_dc,"E9 ADX-DC s=12 w=35 adx=35",W1,test,20230101-20240101,204,73.73,1.36,1.43,17.91,73.73,8.17
V6_E9_P007,group_e9_adx_dc,"E9 ADX-DC s=12 w=35 adx=35",W2,train,20210101-20240101,569,245.56,1.05,1.36,17.99,51.18,5.17
V6_E9_P007,group_e9_adx_dc,"E9 ADX-DC s=12 w=35 adx=35",W2,test,20240101-20250101,161,48.39,1.57,1.63,9.52,48.23,7.77
V6_E9_P007,group_e9_adx_dc,"E9 ADX-DC s=12 w=35 adx=35",W3,train,20220101-20250101,478,181.96,1.12,1.45,18.02,41.23,5.70
V6_E9_P007,group_e9_adx_dc,"E9 ADX-DC s=12 w=35 adx=35",W3,test,20250101-20260401,177,55.60,1.27,1.56,12.35,42.57,5.37
V6_E9_P008,group_e9_adx_dc,"E9 ADX-DC s=12 w=35 adx=40",W1,train,20200101-20230101,552,203.97,0.92,1.29,11.94,45.06,4.53
V6_E9_P008,group_e9_adx_dc,"E9 ADX-DC s=12 w=35 adx=40",W1,test,20230101-20240101,202,85.29,1.54,1.50,17.09,85.29,9.17
V6_E9_P008,group_e9_adx_dc,"E9 ADX-DC s=12 w=35 adx=40",W2,train,20210101-20240101,565,259.33,1.11,1.38,17.10,53.17,5.54
V6_E9_P008,group_e9_adx_dc,"E9 ADX-DC s=12 w=35 adx=40",W2,test,20240101-20250101,161,48.39,1.57,1.63,9.52,48.23,7.77
V6_E9_P008,group_e9_adx_dc,"E9 ADX-DC s=12 w=35 adx=40",W3,train,20220101-20250101,476,188.39,1.17,1.48,17.14,42.29,5.80
